id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
42279565,OpenSALE/3min from sta./10min toShinjuku Kabukicho,219636782,Yuka,,Shinjuku Ku,35.69899,139.7043,Entire home/apt,10000,10,1,2020-03-28,0.10,22,193
42279790,Loft (4 guests) 7 mins walking from IKEBUKURO sta.,247326938,Pqd Inc Ⅱ,,Toshima Ku,35.73526,139.71311,Entire home/apt,3664,1,34,2021-01-25,3.05,30,121
42279965,OpenSALE/3min from sta./10min toShinjuku Kabukicho,219636782,Yuka,,Shinjuku Ku,35.70051,139.70499,Entire home/apt,10000,1,1,2020-03-13,0.09,22,91
42280336,OpenSALE/3min from sta./10min toShinjuku Kabukicho,219636782,Yuka,,Shinjuku Ku,35.69977,139.70697,Entire home/apt,10000,1,0,,,22,89
42280478,6PAX 2Toilets/2showers 2BR Shinokubo Apartment,78745434,Jeffrey,,Shinjuku Ku,35.70228,139.69944,Entire home/apt,13286,2,2,2020-11-10,0.68,13,31
42280788,10mins->station/Mixed Dorm/NoSmoke/1 bed,333603904,LYURO 東京清澄 By THE SHARE HOTELS,,Koto Ku,35.68119,139.79198,Shared room,2663,1,5,2020-09-17,0.47,7,64
42280942,10min->station/Economy 4ppl Room/SharedBath/NoSmok,333603904,LYURO 東京清澄 By THE SHARE HOTELS,,Koto Ku,35.68119,139.79198,Private room,6286,1,1,2020-03-25,0.10,7,0
42281030,10min->station/Standard Double/NoSmoke,333603904,LYURO 東京清澄 By THE SHARE HOTELS,,Koto Ku,35.68119,139.79198,Private room,6996,1,50,2021-01-16,4.48,7,89
42281233,10min->station/Standard Family Room/NoSmoke,333603904,LYURO 東京清澄 By THE SHARE HOTELS,,Koto Ku,35.68119,139.79198,Private room,9111,1,2,2021-01-01,0.44,7,0
42281236,10min->station/4ppl Room/NoSmoke,333603904,LYURO 東京清澄 By THE SHARE HOTELS,,Koto Ku,35.68119,139.79198,Private room,6414,1,1,2021-01-09,1,7,88
42281402,10min->station/Economy Double/NoSmoke/SharedBath,333603904,LYURO 東京清澄 By THE SHARE HOTELS,,Koto Ku,35.68119,139.79198,Private room,5439,1,0,,,7,81
42281465,10min->station/16ppl Mixed Dorm/NoSmoke/2Beds,333603904,LYURO 東京清澄 By THE SHARE HOTELS,,Koto Ku,35.68119,139.79198,Shared room,5051,1,0,,,7,0
42281655,Spring Garden Higashi-Shinjuku/东新宿中心地点，新宿歌舞伎，购物,150232625,Anna,,Shinjuku Ku,35.70016,139.70546,Entire home/apt,19800,1,0,,,16,1
42282060,Super NEW apt/3mins to JR/Free High Speed WiFi 1-3,42244167,Hiro,,Toshima Ku,35.73827,139.74673,Entire home/apt,4286,1,8,2021-01-11,0.73,26,173
42284789,【Monthly】5 min Sta.Easy access to Ueno☆#201,287699302,Nana,,Kita Ku,35.73659,139.75952,Entire home/apt,6325,2,4,2020-03-31,0.36,5,212
42286575,Maggie House——直达秋叶原、银座、浅草，看得见天空树的日剧房子,323602082,Sabrina,,Adachi Ku,35.74974,139.81442,Entire home/apt,15000,1,10,2020-12-31,0.88,4,359
42286664,C室「テラハウス国立」。　国立駅徒歩17分。中央高速国立インターより車7分。無料駐車場有。,331685051,大寺,,Kunitachi Shi,35.69111,139.43844,Private room,3000,1,1,2020-12-12,0.61,3,1
42286890,CD11 Train station 6-min walk(8lines)Downtown Flat,279064316,Na,,Toshima Ku,35.73402,139.71727,Entire home/apt,4000,1,1,2020-12-12,0.64,29,164
42289082,Ikebukuro 3min walk池袋中心地带# 池袋车站步行3分 #wifi #高级公寓302,205906665,Anna,,Toshima Ku,35.73201,139.70551,Entire home/apt,18880,1,0,,,15,302
42289220,Shinjuku 3min walk/ Shinjuku Kabukicho center/102,205906665,Anna,,Shinjuku Ku,35.69839,139.70506,Entire home/apt,18880,1,0,,,15,301
42299943,"Simmons bed, 1min Sta./Shibuya/8PP/Hi Speed Wi-Fi",335992095,由貴,,Setagaya Ku,35.64462,139.66717,Entire home/apt,39500,1,0,,,1,359
42300586,SKYTREE AREA! 2MIN TO CLOSEST STN! 8PPL! 2DK! 42㎡!,334860049,Plays,,Sumida Ku,35.72433,139.81755,Entire home/apt,3657,1,1,2020-03-28,0.10,2,150
42302190,T12-2503|西新宿站徒步4分钟|合法民宿|免费WiFi,315473178,Pony,,Shinjuku Ku,35.69579,139.69093,Entire home/apt,11800,1,0,,,15,64
